Title,Date,Review,Rating
Friendly Staff,2023-09-15,Service was too slow and the staff seemed uninterested.,2
Delicious Food,2024-02-21,Highly recommended for anyone who loves Indian cuisine.,4
Unhygienic Washroom,2023-10-14,"Felt it was overrated, not living up to the hype.",1
Perfect Weekend Spot,2024-03-30,"Really loved the hospitality, would definitely come again.",2
Highly Recommended,2024-03-16,The staff were very polite and attentive.,5
Great for Family,2025-02-27,Amazing buffet spread with so many options!,5
Delicious Food,2025-06-23,The restaurant was overcrowded and noisy.,1
Unhygienic Washroom,2023-10-18,Highly recommended for anyone who loves Indian cuisine.,4
Superb Buffet,2024-08-16,The taste and quality has gone down over the years.,2
Overrated Place,2025-03-06,The staff were very polite and attentive.,5
Great for Family,2025-06-23,"Really loved the hospitality, would definitely come again.",1
Amazing Experience,2025-03-20,"Had a great time with my family, the ambience is perfect.",3
Unhygienic Washroom,2025-01-20,The restaurant was overcrowded and noisy.,3
Too Crowded,2024-10-10,Service was too slow and the staff seemed uninterested.,4
Delicious Food,2025-02-03,Overpriced for the quality of food offered.,2
Delicious Food,2025-01-03,The staff were very polite and attentive.,3
Perfect Weekend Spot,2024-10-17,The restaurant was overcrowded and noisy.,3
Unhygienic Washroom,2024-03-14,The taste and quality has gone down over the years.,2
Superb Buffet,2024-04-05,The staff were very polite and attentive.,3
Highly Recommended,2025-02-07,Food portion sizes were too small compared to the cost.,3
Superb Buffet,2025-08-15,"Felt it was overrated, not living up to the hype.",3
Overrated Place,2025-07-12,"Really loved the hospitality, would definitely come again.",1
Amazing Experience,2024-12-11,The taste and quality has gone down over the years.,3
Will Not Visit Again,2025-05-01,"Washroom was very dirty, spoiled the experience.",4
Average Service,2024-02-21,Overpriced for the quality of food offered.,4
Unhygienic Washroom,2023-10-12,Service was too slow and the staff seemed uninterested.,1
Average Service,2023-12-20,The restaurant was overcrowded and noisy.,4
Food Quality Declined,2025-02-21,The restaurant was overcrowded and noisy.,5
Not Worth the Price,2024-07-17,Perfect place to hang out with friends on weekends.,4
Perfect Weekend Spot,2023-08-26,Overpriced for the quality of food offered.,2
Not Worth the Price,2025-05-01,The staff were very polite and attentive.,1
Not Worth the Price,2025-05-04,The food was absolutely delicious and authentic!,2
Unhygienic Washroom,2025-04-09,The biryani was the best I've had in a long time.,1
Loved the Ambience,2023-10-15,The food was absolutely delicious and authentic!,4
Perfect Weekend Spot,2024-08-21,The restaurant was overcrowded and noisy.,4
Amazing Experience,2024-11-24,The restaurant was overcrowded and noisy.,4
Average Service,2025-08-16,Perfect place to hang out with friends on weekends.,1
Unhygienic Washroom,2025-04-09,"Felt it was overrated, not living up to the hype.",4
Amazing Experience,2024-09-09,The food was absolutely delicious and authentic!,3
Unhygienic Washroom,2023-10-06,The staff were very polite and attentive.,3
Highly Recommended,2023-11-10,Overpriced for the quality of food offered.,4
Overrated Place,2024-01-19,Perfect place to hang out with friends on weekends.,3
Delicious Food,2025-03-13,"Had a great time with my family, the ambience is perfect.",1
Highly Recommended,2024-04-07,"Washroom was very dirty, spoiled the experience.",4
Not Worth the Price,2025-05-05,The restaurant was overcrowded and noisy.,2
Perfect Weekend Spot,2025-03-12,Highly recommended for anyone who loves Indian cuisine.,5
Superb Buffet,2024-08-08,The food was absolutely delicious and authentic!,3
Friendly Staff,2025-08-18,"Really loved the hospitality, would definitely come again.",3
Perfect Weekend Spot,2024-07-17,Service was too slow and the staff seemed uninterested.,2
Friendly Staff,2025-04-02,The staff were very polite and attentive.,3
Superb Buffet,2024-12-25,Food portion sizes were too small compared to the cost.,3
Average Service,2025-08-06,The staff were very polite and attentive.,3
Superb Buffet,2025-03-25,The biryani was the best I've had in a long time.,2
Delicious Food,2025-06-23,The restaurant was overcrowded and noisy.,3
Perfect Weekend Spot,2024-01-03,Food portion sizes were too small compared to the cost.,3
Unhygienic Washroom,2023-10-15,The staff were very polite and attentive.,3
Great for Family,2024-02-24,"Had a great time with my family, the ambience is perfect.",3
Amazing Experience,2025-01-31,The taste and quality has gone down over the years.,4
Superb Buffet,2025-01-11,The biryani was the best I've had in a long time.,2
Too Crowded,2025-03-03,The restaurant was overcrowded and noisy.,5
Superb Buffet,2024-05-21,Service was too slow and the staff seemed uninterested.,4
Food Quality Declined,2023-09-26,Overpriced for the quality of food offered.,3
Superb Buffet,2025-08-16,"Really loved the hospitality, would definitely come again.",4
Loved the Ambience,2024-05-16,The staff were very polite and attentive.,4
Too Crowded,2024-01-22,The taste and quality has gone down over the years.,4
Highly Recommended,2024-01-27,Perfect place to hang out with friends on weekends.,4
Food Quality Declined,2025-04-30,The taste and quality has gone down over the years.,1
Great for Family,2025-02-16,Overpriced for the quality of food offered.,1
Great for Family,2025-07-14,Perfect place to hang out with friends on weekends.,4
Amazing Experience,2023-09-06,The staff were very polite and attentive.,2
